,ID,Tweet,Optimistic,Thankful,Empathetic,Pessimistic,Anxious,Sad,Annoyed,Denial,Official report,Surprise,Joking
0,1245138832040890370,a glass of wine keeps the corona away  drake  no se diga ms cheers to that,1,0,0,0,0,0,0,0,0,0,1
1,1245138859874234368,can anyone tell me if you took the flu shot last year will it give you a positive result for coronavirus even if you dont have it   ,0,0,0,0,1,0,0,0,0,1,0
2,1245138869353353222,by the way producers send me beats im working on music and smoke loud as we speak to get thru coronavirus pandemic,1,0,0,0,0,0,0,0,0,0,1
3,1245138873740648448,when someone you know   apart of your family dies from the coronavirus its shocking unexplainable  my whole day has been down ,0,0,0,0,0,1,0,0,0,0,0
4,1245138886172585989,dear soccer  i really miss you  please come back already    also dear corona   frick you for ruining everything,0,0,0,0,0,1,1,0,0,0,0
5,1245138911195803649,new home remedy to treat coronavirus  tested by leading officials at the white house,1,0,0,0,0,0,0,1,0,0,1
6,1245138920934969344,when xavier wulf does an attack on titan tape like he did project x for initial d  the coronavirus will officially disappear,0,0,0,0,0,0,0,0,0,0,1
7,1245138945119223814,mouthwash is hand san for your mouth and i do not know how to feel about it showerthoughts stay at home coronavirus,0,0,0,0,0,1,0,0,0,1,1
8,1245138953302409216,yes all of them   n france 1 000 christians took the coronavirus from a sunday church meeting  ,0,0,0,0,0,0,1,0,1,1,0
9,1245138958222311431,update i destroyed the tire honestly if i get corona virus because of what just happened i deserved it,0,0,0,1,0,1,0,0,0,0,0
10,1245138966216613889,this feels like one big stanford prison experiment  ugh  quarantined corona,0,0,0,0,0,1,1,0,0,0,0
11,1245138974420668418,my uncle paranoid about corona virus but still goes to work         pick one,0,0,0,0,0,0,1,0,0,1,1
12,1245138996277186568,lol     happy new month bro quickly sending me something before coronavirus wipe april fool finally 0124152280 gtbank,0,0,0,0,0,0,0,0,0,0,1
13,1245139000337235968,someone should now come and tell us all this coronavirus shit is just to have the best april fools day  it would be a good news tho,1,0,0,0,0,0,1,0,0,0,0
14,1245139016690724866,this corona virus is turning me into a millennial  im staying at home  not working  complaining about everything ,0,0,0,0,0,0,1,0,0,0,1
15,1245139029630337024,if you ever stayed at the pocono palace in champagne tower suite youre immune to corona,0,0,0,0,0,0,0,0,0,1,1
16,1245139037108740098,everything is bigger and crazier in texas  coronavirus truth coronavirus coronavirus 19 coronavirus pandemicusa,0,0,0,0,0,0,1,0,0,0,0
17,1245139037398147079,i cant stop watching videos of cardi b saying coronavirus,0,0,0,0,0,0,0,0,0,0,1
18,1245139042204672000,20 years from now  hey mom  during 2020 how did you survive the corona virus ,1,0,0,1,0,1,0,0,0,0,0
19,1245139046411755525,are you saying they are both equivalents  or even approximates  talk about fake news  coronavirus uklockdown,0,0,0,0,1,0,1,1,0,0,0
20,1245139069753008135,well  a red scarf on a doorknob has technically prevented coronavirus for a few people already just saying,0,0,0,0,0,0,0,0,0,1,1
21,1245139075381821442,if corona get weh a bermuda the realest way nobody nah lef ova deh,1,0,0,0,1,0,0,0,0,0,1
